vibration,temperature,gas,status,label,severity
2.4,25.031,0.0317,normal operation,0,0
2.3,25.083,0.0268,normal operation,0,0
0.0,24.834,0.0485,normal operation,0,0
2.2,24.723,0.0204,normal operation,0,0
0.0,24.815,0.0348,normal operation,0,0
14.8,24.693,0.0118,normal operation,0,0
6.5,24.891,0.0432,normal operation,0,0
0.2,24.779,0.0577,normal operation,0,0
0.0,24.86,0.0418,normal operation,0,0
9.0,24.949,0.0513,normal operation,0,0
10.6,24.697,0.0592,normal operation,0,0
9.4,24.79,0.056,normal operation,0,0
8.3,24.911,0.0465,normal operation,0,0
12.3,24.89,0.024,normal operation,0,0
0.0,24.779,0.045,normal operation,0,0
3.3,24.835,0.0137,normal operation,0,0
0.0,24.867,0.0237,normal operation,0,0
18.0,24.841,0.0339,normal operation,0,0
4.8,24.879,0.0823,normal operation,0,0
14.2,24.733,0.0416,normal operation,0,0
7.4,24.833,0.0741,normal operation,0,0
0.0,24.691,0.0318,normal operation,0,0
0.0,24.847,0.0325,normal operation,0,0
0.0,25.052,0.0346,normal operation,0,0
10.2,24.776,0.0444,normal operation,0,0
7.5,24.899,0.0247,normal operation,0,0
0.0,25.126,0.0513,normal operation,0,0
9.4,25.022,0.0662,normal operation,0,0
2.4,24.755,0.0422,normal operation,0,0
4.0,24.999,0.0709,normal operation,0,0
1.0,24.964,0.0493,normal operation,0,0
0.8,24.786,0.0496,normal operation,0,0
0.0,24.907,0.0337,normal operation,0,0
10.9,24.902,0.0487,normal operation,0,0
6.7,24.726,0.0919,normal operation,0,0
4.2,24.971,0.049,normal operation,0,0
22.5,24.764,0.0059,normal operation,0,0
1.8,25.019,0.0176,normal operation,0,0
6.2,24.781,0.0261,normal operation,0,0
0.5,25.122,0.059,normal operation,0,0
0.0,24.824,0.029,normal operation,0,0
0.0,24.825,0.0579,normal operation,0,0
16.7,25.066,0.0315,normal operation,0,0
0.0,24.898,0.022,normal operation,0,0
0.0,24.705,0.045,normal operation,0,0
0.0,25.024,0.0462,normal operation,0,0
4.2,24.843,0.0405,normal operation,0,0
0.8,24.884,0.0559,normal operation,0,0
0.0,24.844,0.0444,normal operation,0,0
9.6,24.917,0.0466,normal operation,0,0
3.2,24.799,0.0377,normal operation,0,0
1.6,24.987,0.0509,normal operation,0,0
11.6,24.951,0.0358,normal operation,0,0
0.0,24.937,0.0622,normal operation,0,0
7.1,24.793,0.0487,normal operation,0,0
10.5,24.794,0.0284,normal operation,0,0
0.0,24.706,0.037,normal operation,0,0
0.0,24.898,0.0127,normal operation,0,0
10.9,24.882,0.0301,normal operation,0,0
5.1,24.825,0.0177,normal operation,0,0
13.1,24.944,0.0249,normal operation,0,0
4.7,24.815,0.0383,normal operation,0,0
13.4,24.963,0.05,normal operation,0,0
0.0,25.065,0.0288,normal operation,0,0
12.4,24.909,0.0241,normal operation,0,0
14.9,24.889,0.0335,normal operation,0,0
0.0,24.743,0.0219,normal operation,0,0
0.0,24.9,0.0315,normal operation,0,0
0.0,24.774,0.0549,normal operation,0,0
12.4,24.899,0.0434,normal operation,0,0
13.2,25.175,0.0525,normal operation,0,0
0.0,24.594,0.0079,normal operation,0,0
19.0,24.824,0.0213,normal operation,0,0
0.0,24.643,0.0317,normal operation,0,0
1.7,24.618,0.017,normal operation,0,0
2.2,24.883,0.026,normal operation,0,0
18.1,24.741,0.035,normal operation,0,0
9.8,24.748,0.0423,normal operation,0,0
0.0,24.602,0.0527,normal operation,0,0
28.6,25.072,0.0514,normal operation,0,0
0.0,24.851,0.0215,normal operation,0,0
2.3,24.843,0.0657,normal operation,0,0
0.0,24.902,0.0393,normal operation,0,0
0.0,24.898,0.0459,normal operation,0,0
3.9,24.703,0.0223,normal operation,0,0
0.0,24.81,0.0432,normal operation,0,0
0.0,24.97,0.0389,normal operation,0,0
0.0,24.626,0.0368,normal operation,0,0
2.2,24.748,0.0169,normal operation,0,0
12.6,24.741,0.0282,normal operation,0,0
0.0,25.066,0.0223,normal operation,0,0
4.8,24.871,0.0306,normal operation,0,0
1.1,24.957,0.0262,normal operation,0,0
10.6,25.063,0.0274,normal operation,0,0
0.0,24.913,0.041,normal operation,0,0
14.5,24.835,0.005,normal operation,0,0
8.7,24.97,0.0356,normal operation,0,0
5.4,24.946,0.0187,normal operation,0,0
6.6,24.911,0.0356,normal operation,0,0
0.0,24.896,0.0378,normal operation,0,0
6.0,25.049,0.0651,normal operation,0,0
7.2,24.877,0.0434,normal operation,0,0
3.1,24.894,0.0605,normal operation,0,0
20.0,24.945,0.0565,normal operation,0,0
3.9,25.031,0.0543,normal operation,0,0
0.0,24.613,0.0064,normal operation,0,0
2.0,24.845,0.0654,normal operation,0,0
0.0,24.797,0.0312,normal operation,0,0
3.7,24.912,0.0282,normal operation,0,0
6.2,25.157,0.0279,normal operation,0,0
0.0,24.738,0.0319,normal operation,0,0
17.5,24.907,0.0201,normal operation,0,0
0.0,24.747,0.0675,normal operation,0,0
2.8,24.872,0.0431,normal operation,0,0
11.6,24.673,0.0386,normal operation,0,0
11.6,24.856,0.034,normal operation,0,0
0.0,24.874,0.0531,normal operation,0,0
0.0,24.814,0.0688,normal operation,0,0
3.5,24.592,0.0377,normal operation,0,0
3.8,24.858,0.0301,normal operation,0,0
2.4,24.946,0.038,normal operation,0,0
6.8,24.79,0.0196,normal operation,0,0
3.1,24.937,0.053,normal operation,0,0
1.5,24.947,0.0451,normal operation,0,0
0.0,24.852,0.0104,normal operation,0,0
0.0,24.824,0.0773,normal operation,0,0
0.3,24.965,0.0387,normal operation,0,0
4.0,25.101,0.0658,normal operation,0,0
13.2,24.73,0.0503,normal operation,0,0
0.8,24.905,0.0451,normal operation,0,0
6.3,24.92,0.0493,normal operation,0,0
8.9,24.817,0.0337,normal operation,0,0
1.6,24.967,0.0489,normal operation,0,0
5.3,24.812,0.0306,normal operation,0,0
13.9,24.76,0.0184,normal operation,0,0
11.9,24.843,0.0193,normal operation,0,0
2.1,24.967,0.0518,normal operation,0,0
16.4,25.242,0.0257,normal operation,0,0
0.0,24.726,0.0292,normal operation,0,0
12.8,24.766,0.0392,normal operation,0,0
7.2,24.875,0.0464,normal operation,0,0
4.4,24.842,0.0268,normal operation,0,0
0.2,24.728,0.0484,normal operation,0,0
18.1,24.662,0.0586,normal operation,0,0
9.0,24.803,0.0624,normal operation,0,0
2.6,24.77,0.068,normal operation,0,0
25.2,24.883,0.0222,normal operation,0,0
11.3,24.939,0.0301,normal operation,0,0
15.3,24.961,0.0541,normal operation,0,0
15.4,25.028,0.0191,normal operation,0,0
128.1,23.538,0.9197,leak_event_sev1_h2_10%,1,1
162.8,23.353,1.2088,leak_event_sev1_h2_10%,1,1
137.5,23.521,0.9027,leak_event_sev1_h2_10%,1,1
141.3,23.495,1.0961,leak_event_sev1_h2_10%,1,1
172.1,23.715,1.1778,leak_event_sev1_h2_10%,1,1
177.2,23.041,0.9675,leak_event_sev1_h2_10%,1,1
141.9,23.043,0.8679,leak_event_sev1_h2_10%,1,1
154.6,23.242,1.1889,leak_event_sev1_h2_10%,1,1
179.9,23.401,1.0139,leak_event_sev1_h2_10%,1,1
177.0,23.269,1.2268,leak_event_sev1_h2_10%,1,1
140.1,23.424,0.9496,leak_event_sev1_h2_10%,1,1
154.7,23.364,0.8603,leak_event_sev1_h2_10%,1,1
154.0,23.255,0.9661,leak_event_sev1_h2_10%,1,1
187.8,23.307,1.138,leak_event_sev1_h2_10%,1,1
178.8,23.57,0.9201,leak_event_sev1_h2_10%,1,1
166.7,23.094,1.0942,leak_event_sev1_h2_10%,1,1
200.7,23.444,0.9628,leak_event_sev1_h2_10%,1,1
164.3,23.454,0.9538,leak_event_sev1_h2_10%,1,1
177.9,23.293,1.1537,leak_event_sev1_h2_10%,1,1
170.2,23.296,0.9818,leak_event_sev1_h2_10%,1,1
174.0,23.516,1.1333,leak_event_sev1_h2_10%,1,1
157.8,23.272,1.3087,leak_event_sev1_h2_10%,1,1
141.3,23.661,0.886,leak_event_sev1_h2_10%,1,1
185.3,23.142,0.8973,leak_event_sev1_h2_10%,1,1
196.2,22.902,1.3541,leak_event_sev1_h2_10%,1,1
192.5,23.452,1.185,leak_event_sev1_h2_10%,1,1
200.7,23.346,0.8775,leak_event_sev1_h2_10%,1,1
200.0,23.331,1.3138,leak_event_sev1_h2_10%,1,1
165.5,23.236,1.2965,leak_event_sev1_h2_10%,1,1
206.7,23.429,1.1947,leak_event_sev1_h2_10%,1,1
192.6,23.238,1.2659,leak_event_sev1_h2_10%,1,1
176.9,23.583,0.8852,leak_event_sev1_h2_10%,1,1
213.1,23.122,1.0056,leak_event_sev1_h2_10%,1,1
238.8,22.912,0.9278,leak_event_sev1_h2_10%,1,1
203.0,23.472,1.299,leak_event_sev1_h2_10%,1,1
198.5,23.234,1.0299,leak_event_sev1_h2_10%,1,1
183.4,23.609,1.178,leak_event_sev1_h2_10%,1,1
182.8,23.325,1.3942,leak_event_sev1_h2_10%,1,1
211.7,23.241,0.9626,leak_event_sev1_h2_10%,1,1
211.0,23.131,1.0315,leak_event_sev1_h2_10%,1,1
209.8,23.361,1.0152,leak_event_sev1_h2_10%,1,1
159.0,22.782,1.0017,leak_event_sev1_h2_10%,1,1
167.0,23.305,1.4289,leak_event_sev1_h2_10%,1,1
211.4,23.464,1.3154,leak_event_sev1_h2_10%,1,1
208.5,23.516,1.1496,leak_event_sev1_h2_10%,1,1
212.1,23.103,1.4157,leak_event_sev1_h2_10%,1,1
195.6,22.887,1.3883,leak_event_sev1_h2_10%,1,1
192.5,23.467,1.139,leak_event_sev1_h2_10%,1,1
