temperature,vibration,gas,status,label,severity
24.914,0.0368,29.8,normal operation,0,0
24.675,9.9,0.044,normal operation,0,0
22.283,342.1,2.3186,leak_event_sev2_h2_25%,1,1
24.955,5.2,0.0436,normal operation,0,0
25.083,9.7,0.0331,normal operation,0,0
23.621,1.2281,280.9,leak_event_sev1_H2_15%,1,1
22.421,337.4,2.421,leak_event_sev2_h2_20%,1,1
23.301,1.3028,314.6,leak_event_sev1_H2_10%,1,1
23.451,1.2486,273.7,leak_event_sev1_H2_15%,1,1
21.766,440.9,2.2064,leak_event_sev1_h2_10%,1,1
21.715,363.2,1.6043,leak_event_sev1_h2_10%,1,1
24.823,0.0424,14.9,normal operation,0,0
22.498,1.5368,358.4,leak_event_sev1_H2_10%,1,1
20.859,2.5,557.8,leak_event_sev2_H2_22%,1,2
24.904,8.5,0.0434,normal operation,0,0
20.132,4.1056,921.5,leak_event_sev3_H2_30%,1,3
22.714,474.3,2.172,leak_event_sev2_h2_20%,1,1
24.788,0.0528,18.2,normal operation,0,0
25.084,0.0443,32.2,normal operation,0,0
19.0,3.8758,808.1,leak_event_sev2_H2_28%,1,2
24.984,0.0836,5.2,normal operation,0,0
19.279,801.3,3.3116,leak_event_sev3_h2_30%,1,1
24.733,8.6,0.0505,normal operation,0,0
24.971,0.036,47.8,normal operation,0,0
24.888,10.7,0.0282,normal operation,0,0
24.549,0.0448,0.0,normal operation,0,0
19.343,759.4,2.8168,leak_event_sev2_h2_25%,1,1
25.016,0.0458,15.2,normal operation,0,0
21.351,1.9445,486.0,leak_event_sev1_H2_15%,1,1
24.629,0.0266,18.8,normal operation,0,0
22.493,333.9,1.6668,leak_event_sev1_h2_10%,1,1
22.416,242.5,1.714,leak_event_sev1_h2_10%,1,1
25.055,0.0,0.0396,normal operation,0,0
25.123,11.2,0.036,normal operation,0,0
24.976,0.0207,0.0,normal operation,0,0
24.978,18.8,0.0241,normal operation,0,0
22.152,2.193,492.2,leak_event_sev2_H2_22%,1,2
22.758,230.6,1.1014,leak_event_sev1_h2_10%,1,1
24.978,13.9,0.0053,normal operation,0,0
24.821,0.0452,0.0,normal operation,0,0
22.26,2.046,431.7,leak_event_sev2_H2_22%,1,2
24.971,4.2,0.049,normal operation,0,0
24.815,0.0311,5.7,normal operation,0,0
